,X,vcode,imageFile,pairID,basname,spcname,cond,resp,resp.raw,pos_tagged,parsed,dep_parsed,tags_only,tokens,head_noun,objName,nameCat,ExprCategory,preNomMod,postNomMod,type_mod,grouped_tags
30,1738,2535025,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the white plane,the white plane,"[('the', 'DT'), ('white', 'JJ'), ('plane', 'NN')]","(ROOT
  (NP (DT the) (JJ white) (NN plane)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'white', 'plane']",plane,plane,ref,syntax,['white'],['--'],['colour'],['visual']
31,622,9550961,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the white plane,the white plane,"[('the', 'DT'), ('white', 'JJ'), ('plane', 'NN')]","(ROOT
  (NP (DT the) (JJ white) (NN plane)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'white', 'plane']",plane,plane,ref,syntax,['white'],['--'],['colour'],['visual']
32,1609,8041092,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the plane on ground,the plan on ground,"[('the', 'DT'), ('plane', 'NN'), ('on', 'IN'), ('ground', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN plane))
    (PP (IN on)
      (NP (NN ground)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 4, 3), (nmod, 2, 4)]","['DT', 'NN', 'IN', 'NN']","['the', 'plane', 'on', 'ground']",plane,plane,ref,syntax,['--'],"['on', 'ground']",['position'],['pos_orient']
33,4442,2460515,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the red leaf plane,the red leaf plane,"[('the', 'DT'), ('red', 'JJ'), ('leaf', 'NN'), ('plane', 'NN')]","(ROOT
  (NP (DT the)
    (NML (JJ red) (NN leaf))
    (NN plane)))","[(ROOT, 0, 4), (det, 4, 1), (amod, 4, 2), (compound, 4, 3)]","['DT', 'JJ', 'NN', 'NN']","['the', 'red', 'leaf', 'plane']",plane,leaf plane,ref,syntax,"['red', 'leaf']",['--'],"['colour', 'part_or_object']","['visual', 'part']"
34,464,3994550,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the plane on the ground,the plane on the ground,"[('the', 'DT'), ('plane', 'NN'), ('on', 'IN'), ('the', 'DT'), ('ground', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN plane))
    (PP (IN on)
      (NP (DT the) (NN ground)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 5, 3), (det, 5, 4), (nmod, 2, 5)]","['DT', 'NN', 'IN', 'DT', 'NN']","['the', 'plane', 'on', 'the', 'ground']",plane,plane,ref,syntax,['--'],"['on', 'the', 'ground']",['position'],['pos_orient']
35,5805,5972498,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the big pelican,the big pelican,"[('the', 'DT'), ('big', 'JJ'), ('pelican', 'NN')]","(ROOT
  (NP (DT the) (JJ big) (NN pelican)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'big', 'pelican']",pelican,pelican,spec,syntax,['big'],['--'],['size'],['visual']
36,303,7766787,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the australian pelican,the austalian pelician,"[('the', 'DT'), ('australian', 'JJ'), ('pelican', 'NN')]","(ROOT
  (NP (DT the) (JJ australian) (NN pelican)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'australian', 'pelican']",pelican,pelican,spec,syntax,['australian'],['--'],['other_adj'],[]
37,1066,3169918,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the larger bird,the larger bird,"[('the', 'DT'), ('larger', 'JJR'), ('bird', 'NN')]","(ROOT
  (FRAG
    (NP (DT the) (JJR larger) (NN bird))))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJR', 'NN']","['the', 'larger', 'bird']",bird,bird,ref,syntax,['larger'],['--'],['size'],['visual']
38,6262,2889765,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the large bird,the large bird,"[('the', 'DT'), ('large', 'JJ'), ('bird', 'NN')]","(ROOT
  (NP (DT the) (JJ large) (NN bird)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'large', 'bird']",bird,bird,ref,syntax,['large'],['--'],['size'],['visual']
39,1084,6831649,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the large bird,the large bird,"[('the', 'DT'), ('large', 'JJ'), ('bird', 'NN')]","(ROOT
  (NP (DT the) (JJ large) (NN bird)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'large', 'bird']",bird,bird,ref,syntax,['large'],['--'],['size'],['visual']
